0	10
0	8
0	14
1	6
2	16
3	9
3	6
3	11
4	7
8	9
8	8
10	13
11	10
11	12
11	12
11	15
12	6
13	10
14	5
15	7
15	17
17	8
18	16
20	9
20	11
21	15
21	12
21	9
21	3
22	8
23	10
23	9
23	6
24	3
24	8
24	9
24	5
24	7
24	12
24	3
25	8
25	8
26	8
26	11
26	6
26	9
26	10
27	8
28	13
28	11
28	10
28	5
28	13
29	6
29	10
29	13
31	9
31	9
32	8
32	8
32	14
34	13
34	8
34	13
35	12
36	12
36	14
36	6
37	13
38	8
38	14
38	9
39	8
39	18
40	11
40	9
40	10
41	12
43	16
43	11
44	10
45	13
45	6
46	13
47	9
47	14
47	6
47	8
47	9
48	11
48	12
48	11
48	9
49	10
49	13
50	7
50	10
51	9
52	12
52	6
52	7
52	16
53	14
53	6
55	5
57	11
57	10
58	10
58	8
58	16
58	9
58	5
59	8
59	13
60	6
61	13
61	12
62	9
62	9
63	8
63	16
64	7
64	9
65	9
65	6
66	7
66	12
67	10
68	11
69	13
69	14
69	8
70	6
70	8
70	9
70	14
71	5
72	15
72	10
73	13
73	12
73	8
74	10
74	16
75	18
75	6
76	6
77	9
78	12
78	12
78	9
78	17
78	7
79	9
80	13
81	9
81	10
81	10
82	11
83	8
83	8
83	14
83	8
84	12
84	7
84	10
84	11
85	8
85	13
85	5
85	13
85	10
86	10
86	11
87	9
87	10
87	16
87	8
88	10
88	11
88	9
89	7
90	14
90	11
90	7
91	15
91	12
91	8
92	11
93	9
93	9
93	13
94	8
95	11
95	9
95	8
96	13
96	7
96	13
96	10
96	7
98	7
98	6
99	11
99	10
103	10
104	6
104	9
105	8
105	7
106	11
109	10
110	9
112	12
112	11
114	7
116	10
117	9
118	9
