0	8
1	14
3	9
4	15
4	8
4	11
5	5
5	9
5	6
6	7
6	29
8	8
8	11
9	8
12	14
12	13
12	13
15	20
15	13
16	12
17	11
17	7
20	11
20	16
21	10
22	14
22	8
22	10
23	11
23	10
23	8
23	24
26	15
28	22
29	6
30	8
31	16
32	9
32	14
33	14
34	9
34	8
36	11
36	10
37	15
41	13
44	15
46	14
47	12
48	14
49	10
49	19
50	10
50	7
50	10
51	36
55	6
55	9
57	18
60	10
60	8
61	7
63	5
65	15
65	6
65	13
66	17
66	8
67	8
67	15
68	5
69	8
69	7
70	29
70	10
71	12
71	8
72	13
72	18
73	10
75	8
75	15
76	26
77	9
78	6
78	12
79	17
81	8
82	11
84	29
85	12
85	14
86	10
86	4
86	9
86	15
88	4
89	11
90	18
91	13
92	9
92	9
95	11
95	11
96	10
97	10
99	6
100	31
100	27
100	28
101	14
101	38
101	9
102	10
102	11
104	7
104	9
104	9
106	9
106	12
107	7
109	11
111	24
113	11
113	7
115	13
117	6
119	8
119	13
119	6
