3	11
4	5
5	11
6	10
6	10
6	11
7	14
7	10
7	14
8	6
9	8
11	10
11	9
12	5
12	13
14	8
17	8
17	15
20	13
21	7
21	10
23	16
24	11
25	8
26	8
27	9
27	6
27	9
28	7
28	11
28	8
29	5
32	7
32	8
34	7
35	9
36	8
37	8
37	12
37	8
39	16
39	13
41	11
41	5
42	7
42	11
42	6
42	14
43	7
43	9
44	12
44	10
44	9
45	11
47	7
48	8
48	13
49	9
49	5
49	9
52	9
53	11
53	9
54	11
55	13
56	11
56	9
57	10
59	9
59	10
61	7
61	6
63	8
67	11
67	11
68	15
68	11
71	14
71	14
72	8
72	13
75	6
76	5
78	9
79	10
79	12
80	9
81	12
81	14
83	7
83	15
83	6
83	13
85	6
85	12
88	13
88	5
90	9
90	8
90	7
94	5
94	13
95	6
95	13
96	6
96	7
97	13
97	7
97	10
98	17
99	7
99	14
101	11
101	9
102	5
103	7
103	15
104	8
104	13
104	10
104	6
105	8
106	14
106	9
106	7
107	7
107	14
108	9
108	12
109	10
109	11
110	5
111	13
112	3
112	22
112	6
114	9
114	16
115	8
117	8
118	13
119	14
119	12
119	12
